"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Power"
"1",-1.476,1.725,-4.303,0.8,-1.578,-1.597,0,0.06,0.33
"2",-1.52,1.146,-4.389,0.8,-1.667,-1.686,0.1,0.05,0.3
"3",-1.567,1.454,-4.472,0.8,-1.707,-1.777,0.2,0.04,0.3
"4",-1.62,0.977,-4.553,0.8,-1.719,-1.867,0.3,0.03,0.28
"5",-1.685,1.165,-4.624,0.8,-1.714,-1.958,0.4,0.03,0.26
"6",-1.687,1.914,-4.683,0.8,-1.799,-2.052,0.5,0.02,0.28
"7",-1.825,1.277,-4.742,0.8,-1.964,-2.139,0.6,0.03,0.3
"8",-1.881,1.191,-4.797,0.8,-1.953,-2.229,0.7,0.03,0.36
"9",-1.896,3.296,-4.864,0.8,-2.062,-2.32,0.8,0.03,0.34
"10",-1.916,1.78,-4.898,0.8,-1.972,-2.412,0.9,0.03,0.35
"11",-1.978,2.765,-4.941,0.8,-2.041,-2.501,1,0.04,0.34
