"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","Power"
"1",-1.446,1.159,-4.303,0.8,-1.532,-1.596,0,0.08,0.39
"2",-1.476,1.348,-4.391,0.8,-1.577,-1.687,0.1,0.08,0.39
"3",-1.469,5.682,-4.473,0.8,-1.627,-1.778,0.2,0.08,0.32
"4",-1.508,1.765,-4.547,0.8,-1.67,-1.866,0.3,0.07,0.29
"5",-1.512,3.312,-4.621,0.8,-1.815,-1.956,0.4,0.06,0.29
"6",-1.65,2.439,-4.685,0.8,-1.784,-2.048,0.5,0.08,0.25
"7",-1.695,1.401,-4.742,0.8,-1.904,-2.14,0.6,0.08,0.27
"8",-1.797,10.291,-4.792,0.8,-1.843,-2.228,0.7,0.1,0.23
"9",-1.817,3.839,-4.851,0.8,-1.927,-2.319,0.8,0.1,0.28
"10",-1.798,4.132,-4.897,0.8,-2.095,-2.409,0.9,0.09,0.33
"11",-1.919,1.978,-4.925,0.8,-2.022,-2.498,1,0.11,0.32
