"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Power"
"1",-1.5,1.489,-4.303,0.8,-1.569,-1.597,0,0.07,0.31
"2",-1.485,1.138,-4.39,0.8,-1.521,-1.687,0.1,0.05,0.26
"3",-1.537,1.368,-4.471,0.8,-1.597,-1.779,0.2,0.05,0.22
"4",-1.526,2.427,-4.55,0.8,-1.711,-1.867,0.3,0.03,0.25
"5",-1.589,1.326,-4.619,0.8,-1.798,-1.956,0.4,0.03,0.23
"6",-1.686,1.315,-4.687,0.8,-1.711,-2.046,0.5,0.05,0.22
"7",-1.779,1.051,-4.742,0.8,-1.86,-2.137,0.6,0.06,0.22
"8",-1.795,1.453,-4.797,0.8,-1.849,-2.227,0.7,0.06,0.25
"9",-1.829,1.301,-4.833,0.8,-1.972,-2.318,0.8,0.06,0.28
"10",-1.805,1.805,-4.887,0.8,-1.922,-2.41,0.9,0.05,0.33
"11",-1.868,2.09,-4.929,0.8,-2.033,-2.501,1,0.07,0.34
