"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","Power"
"1",-1.455,0.545,-4.304,0.8,-1.528,-1.596,0,0,0.17
"2",-1.527,0.517,-4.392,0.8,-1.629,-1.688,0.1,0,0.15
"3",-1.595,0.52,-4.474,0.8,-1.673,-1.78,0.2,0,0.08
"4",-1.659,0.541,-4.557,0.8,-1.657,-1.867,0.3,0,0.1
"5",-1.723,0.561,-4.627,0.8,-1.846,-1.958,0.4,0,0.1
"6",-1.783,0.567,-4.692,0.8,-1.85,-2.049,0.5,0,0.09
"7",-1.843,0.57,-4.749,0.8,-1.822,-2.138,0.6,0,0.08
"8",-1.901,0.55,-4.798,0.8,-1.786,-2.23,0.7,0,0.08
"9",-1.953,0.556,-4.845,0.8,-1.917,-2.32,0.8,0,0.09
"10",-2.002,0.576,-4.892,0.8,-2.035,-2.409,0.9,0,0.12
"11",-2.04,0.627,-4.94,0.8,-2.084,-2.501,1,0,0.13
