"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Power"
"1",-1.508,1.205,-4.369,0.8,-1.62,-1.703,0,0.04,0.35
"2",-1.508,1.523,-4.458,0.8,-1.599,-1.793,0.1,0.02,0.29
"3",-1.647,0.925,-4.54,0.8,-1.664,-1.884,0.2,0.03,0.27
"4",-1.708,0.94,-4.632,0.8,-1.737,-1.971,0.3,0.03,0.28
"5",-1.753,1.132,-4.716,0.8,-1.903,-2.068,0.4,0.03,0.29
"6",-1.729,2.043,-4.769,0.8,-1.887,-2.155,0.5,0.01,0.3
"7",-1.807,1.167,-4.849,0.8,-2.025,-2.247,0.6,0.01,0.35
"8",-1.846,1.367,-4.896,0.8,-2.059,-2.338,0.7,0.01,0.34
"9",-1.881,3.991,-4.954,0.8,-1.94,-2.426,0.8,0.03,0.3
"10",-2.012,2.1,-5.106,0.8,-2.168,-2.518,0.9,0.05,0.29
"11",-2.142,1.522,-5.069,0.8,-2.167,-2.611,1,0.07,0.25
