"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Power"
"1",-1.519,0.539,-4.368,0.8,-1.539,-1.702,0,0,0.16
"2",-1.59,0.532,-4.455,0.8,-1.675,-1.79,0.1,0,0.13
"3",-1.658,0.538,-4.546,0.8,-1.587,-1.885,0.2,0,0.07
"4",-1.758,0.658,-4.622,0.8,-1.816,-1.973,0.3,0.01,0.07
"5",-1.791,0.58,-4.692,0.8,-1.82,-2.062,0.4,0,0.08
"6",-1.854,0.57,-4.77,0.8,-1.889,-2.154,0.5,0,0.09
"7",-1.917,0.549,-4.835,0.8,-1.926,-2.246,0.6,0,0.08
"8",-1.98,0.545,-4.897,0.8,-2.004,-2.336,0.7,0,0.08
"9",-2.033,0.56,-4.954,0.8,-1.928,-2.431,0.8,0,0.12
"10",-2.079,0.598,-5.009,0.8,-2.154,-2.517,0.9,0,0.13
"11",-2.123,0.648,-5.077,0.8,-2.084,-2.609,1,0,0.13
