"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1* ","Percent of Estimation Missing","Power"
"1",-1.57609443044967,1.11195751113738,-4.4754007340238,0.8,-1.59479043617919,-1.80678690762586,0,0.04,0.3
"2",-1.62478706032704,1.39852249229541,-4.55886614301742,0.8,-1.64651369384945,-1.89367292592128,0.1,0.03,0.28
"3",-1.71862848089952,1.01838757569887,-4.64317637617128,0.8,-1.85983965236271,-1.98434140053715,0.2,0.03,0.28
"4",-1.79707355899534,1.26474534079788,-4.74187808619852,0.8,-1.92313677038607,-2.08041913937814,0.3,0.03,0.27
"5",-1.86245897157042,1.03055576827923,-4.80813246034106,0.8,-1.88720689690498,-2.16841897097123,0.4,0.03,0.27
"6",-1.94034817841506,0.934169445932137,-4.87540862027041,0.8,-1.82901858965688,-2.2589014769609,0.5,0.03,0.25
"7",-1.94872510341177,1.55661384208659,-4.96831298506776,0.8,-1.98656884862089,-2.35108934932265,0.6,0.03,0.27
"8",-2.10854798139018,2.81760725298693,-5.02577005671931,0.8,-2.0409357518353,-2.44128672484598,0.7,0.06,0.23
"9",-2.14165941517993,1.68368653450511,-5.08587365534433,0.8,-2.07062283906146,-2.5307902107215,0.8,0.06,0.25
"10",-2.20575927919945,13.4587128093647,-5.15495143439755,0.8,-2.19161331842415,-2.62441857325257,0.9,0.07,0.24
"11",-2.21587280774048,2.04878107300905,-5.23225243226597,0.8,-2.24957542998903,-2.71337982542842,1,0.06,0.24
