"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","Power"
"1",-1.518,5.394,-4.472,0.8,-1.593,-1.805,0,0.01,0.21
"2",-1.67,0.575,-4.557,0.8,-1.667,-1.899,0.1,0.01,0.17
"3",-1.727,0.648,-4.649,0.8,-1.798,-1.992,0.2,0.01,0.16
"4",-1.818,1.277,-4.744,0.8,-1.901,-2.081,0.3,0.02,0.16
"5",-1.839,0.745,-4.809,0.8,-1.849,-2.173,0.4,0.01,0.17
"6",-1.919,0.791,-4.888,0.8,-2.008,-2.263,0.5,0.02,0.17
"7",-1.987,1.314,-4.963,0.8,-2.003,-2.354,0.6,0.03,0.18
"8",-2.094,1.115,-5.034,0.8,-1.962,-2.445,0.7,0.05,0.17
"9",-2.09,0.908,-5.091,0.8,-2.08,-2.538,0.8,0.03,0.18
"10",-2.197,1.193,-5.173,0.8,-2.234,-2.628,0.9,0.06,0.17
"11",-2.239,1.847,-5.225,0.8,-2.256,-2.719,1,0.06,0.21
