"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1* ","Percent of Estimation Missing","Power"
"1",0,-1.52138272531355,0.0043576320000937,-1.50828399061409,0.6,0.309524843136871,0.352823109512031,0,0.01
"2",0.1,-1.59902623217038,0.00435165339090243,-1.58084355694951,0.6,0.317724917618933,0.366228480800705,0.1,0.01
"3",0.2,-1.66821627027014,0.00434409401597198,-1.64976403013474,0.6,0.323534949260085,0.376348754659892,0.2,0.01
"4",0.3,-1.79999885631322,0.00433667953128352,-1.77600494283844,0.6,0.327859465558417,0.38288874641057,0.3,0.02
"5",0.4,-1.86577515290136,0.00433100582937781,-1.84506538209924,0.6,0.33104292302902,0.385649813717314,0.4,0.01
"6",0.5,-1.9432351589524,0.00432947125847772,-1.92349738590623,0.6,0.328930563046729,0.384549509409191,0.5,0.01
"7",0.6,-1.98152179321385,0.00433127962439812,-1.9482020080398,0.6,0.328466524255964,0.379598850265992,0.6,0.01
"8",0.7,-2.08985130314015,0.00433265767656475,-2.07150695669265,0.6,0.320149083454289,0.371013385082954,0.7,0.02
"9",0.8,-2.15168775467017,0.00433521193634476,-2.13448703494289,0.6,0.31341158387675,0.358967816890006,0.8,0.02
"10",0.9,-2.22030769013967,0.00433381225742987,-2.12715030163624,0.6,0.304205719794013,0.343863659743387,0.9,0.03
"11",1,-2.23432638240674,0.00432717973765513,-2.25939239546305,0.6,0.293107162369446,0.326107107992321,1,0.03
