"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1* ","Percent of Estimation Missing","Power"
"1",-1.52138272531355,0.757994420163791,-1.50828399061409,0.6,-1.65186378817228,-1.70249747949277,0,0.01,0.25
"2",-1.59902623217038,0.846971457172669,-1.58084355694951,0.6,-1.59854203587863,-1.79057485544787,0.1,0.01,0.23
"3",-1.66821627027014,1.29864022618146,-1.64976403013474,0.6,-1.87989768490328,-1.88159781450534,0.2,0.01,0.22
"4",-1.79999885631322,0.894141694208369,-1.77600494283844,0.6,-1.82771507521271,-1.97412001599665,0.3,0.02,0.15
"5",-1.86577515290136,0.81855780041814,-1.84506538209924,0.6,-1.88238678796341,-2.0667170626274,0.4,0.01,0.15
"6",-1.9432351589524,0.831849124007182,-1.92349738590623,0.6,-1.87926504458027,-2.15599096324689,0.5,0.01,0.17
"7",-1.98152179321385,1.45725898789319,-1.9482020080398,0.6,-2.01189310164945,-2.24561737710002,0.6,0.01,0.18
"8",-2.08985130314015,1.0370277347959,-2.07150695669265,0.6,-2.10340365402097,-2.3386172593075,0.7,0.02,0.13
"9",-2.15168775467017,0.948649065606914,-2.13448703494289,0.6,-2.10685980179002,-2.42864705990759,0.8,0.02,0.17
"10",-2.22030769013967,8.48840563862575,-2.12715030163624,0.6,-2.3205433375854,-2.52058139363252,0.9,0.03,0.17
"11",-2.23432638240674,1.4347181838819,-2.25939239546305,0.6,-2.28883039128928,-2.6126594300392,1,0.03,0.2
