"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1* ","Percent of Estimation Missing","Type I Error"
"1",-1.30590146855204,0.996959494163189,-4.19383624097512,0.8,-1.41832943602065,-1.59659893059325,0,0.07,0.41
"2",-1.32688070963553,1.6711272336474,-4.25562882076535,0.8,-1.40603962678949,-1.689872078625,0.1,0.07,0.39
"3",-1.30821933606065,1.68082165630484,-4.31081612223013,0.8,-1.37903137248645,-1.77936446878667,0.2,0.06,0.42
"4",-1.29734240798588,2.34001976031332,-4.36393901236393,0.8,-1.35785709296718,-1.8702466064275,0.3,0.06,0.42
"5",-1.31579818581747,6.02576436153728,-4.40425202659711,0.8,-1.44245823232859,-1.95972868670574,0.4,0.07,0.37
"6",-1.39150195958054,2.61091831939354,-4.44421481169813,0.8,-1.44401587827382,-2.05178197359669,0.5,0.09,0.34
"7",-1.37692862023321,3.25108419073664,-4.47669761832256,0.8,-1.35649654304707,-2.14225845065093,0.6,0.09,0.35
"8",-1.42648573815311,1.57083635429826,-4.50530770244138,0.8,-1.53557319456915,-2.23120265240377,0.7,0.08,0.38
"9",-1.38874169624061,8.85421077647358,-4.52284342569165,0.8,-1.42911840889457,-2.32102922784239,0.8,0.08,0.37
"10",-1.49675353785258,2.32935224904341,-4.54132765068253,0.8,-1.53392085605389,-2.4154443614214,0.9,0.11,0.38
"11",-1.38834020367127,5.21488386822307,-4.550300327987,0.8,-1.25258789572016,-2.506408432435,1,0.1,0.43
