"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Truth CI coverage"
"1",-1.229,1.332,-4.194,0.8,-1.398,-1.401,0,0.04,0.917
"2",-1.263,1.242,-4.256,0.8,-1.317,-1.403,0.1,0.04,0.917
"3",-1.274,3.074,-4.313,0.8,-1.356,-1.405,0.2,0.04,0.927
"4",-1.303,1.165,-4.379,0.8,-1.398,-1.407,0.3,0.04,0.927
"5",-1.267,2.652,-4.408,0.8,-1.336,-1.409,0.4,0.04,0.927
"6",-1.399,1.884,-4.448,0.8,-1.397,-1.411,0.5,0.08,0.924
"7",-1.468,1.985,-4.486,0.8,-1.519,-1.413,0.6,0.09,0.901
"8",-1.451,1.11,-4.507,0.8,-1.41,-1.414,0.7,0.08,0.913
"9",-1.439,1.278,-4.529,0.8,-1.397,-1.416,0.8,0.08,0.913
"10",-1.395,7.109,-4.542,0.8,-1.485,-1.417,0.9,0.08,0.913
"11",-1.416,3.161,-4.556,0.8,-1.349,-1.418,1,0.1,0.911
