"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Truth CI coverage"
"1",-1.247,2.272,-4.194,0.8,-1.448,-1.401,0,0.04,0.948
"2",-1.31,1.478,-4.254,0.8,-1.438,-1.403,0.1,0.05,0.958
"3",-1.288,1.551,-4.309,0.8,-1.437,-1.405,0.2,0.05,0.958
"4",-1.215,3.097,-4.362,0.8,-1.48,-1.407,0.3,0.04,0.958
"5",-1.308,1.763,-4.402,0.8,-1.508,-1.409,0.4,0.06,0.947
"6",-1.339,1.252,-4.443,0.8,-1.421,-1.411,0.5,0.07,0.935
"7",-1.351,12.074,-4.477,0.8,-1.486,-1.412,0.6,0.08,0.902
"8",-1.367,1.796,-4.501,0.8,-1.406,-1.414,0.7,0.1,0.911
"9",-1.339,2.007,-4.524,0.8,-1.435,-1.416,0.8,0.11,0.933
"10",-1.286,3.42,-4.537,0.8,-1.388,-1.417,0.9,0.12,0.909
"11",-1.336,8.119,-4.545,0.8,-1.501,-1.418,1,0.15,0.906
