"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","CI coverage"
"1",-1.363,4.702,-4.194,0.8,-1.457,-1.401,0,0.01,0.949
"2",-1.327,0.795,-4.256,0.8,-1.218,-1.403,0.1,0,0.95
"3",-1.385,0.683,-4.318,0.8,-1.379,-1.405,0.2,0.01,0.96
"4",-1.402,0.562,-4.362,0.8,-1.452,-1.407,0.3,0.01,0.96
"5",-1.411,0.579,-4.416,0.8,-1.434,-1.409,0.4,0.01,0.949
"6",-1.415,0.603,-4.445,0.8,-1.521,-1.411,0.5,0.01,0.949
"7",-1.417,0.702,-4.485,0.8,-1.476,-1.413,0.6,0.01,0.909
"8",-1.415,0.738,-4.506,0.8,-1.447,-1.414,0.7,0.01,0.929
"9",-1.397,0.878,-4.529,0.8,-1.425,-1.416,0.8,0.01,0.929
"10",-1.36,1.279,-4.541,0.8,-1.263,-1.417,0.9,0.01,0.929
"11",-1.37,1.178,-4.555,0.8,-1.34,-1.418,1,0.02,0.929
