"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","CI coverage"
"1",-1.319,1.021,-4.236,0.8,-1.527,-1.409,0,0.06,0.968
"2",-1.337,0.878,-4.299,0.8,-1.475,-1.412,0.1,0.06,0.957
"3",-1.307,1.044,-4.357,0.8,-1.5,-1.414,0.2,0.05,0.958
"4",-1.277,1.499,-4.411,0.8,-1.408,-1.417,0.3,0.04,0.958
"5",-1.319,2.234,-4.462,0.8,-1.42,-1.419,0.4,0.05,0.937
"6",-1.375,2.038,-4.526,0.8,-1.481,-1.421,0.5,0.06,0.926
"7",-1.33,1.766,-4.548,0.8,-1.374,-1.422,0.6,0.06,0.926
"8",-1.389,9.337,-4.591,0.8,-1.4,-1.424,0.7,0.09,0.901
"9",-1.448,1.45,-4.619,0.8,-1.414,-1.425,0.8,0.1,0.9
"10",-1.478,2.085,-4.653,0.8,-1.516,-1.427,0.9,0.12,0.886
"11",-1.515,1.741,-4.676,0.8,-1.462,-1.428,1,0.13,0.851
