"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","CI coverage"
"1",-1.326,0.912,-4.239,0.8,-1.453,-1.41,0,0.04,0.969
"2",-1.318,0.946,-4.302,0.8,-1.409,-1.412,0.1,0.04,0.948
"3",-1.283,1.323,-4.365,0.8,-1.436,-1.414,0.2,0.04,0.948
"4",-1.211,14.398,-4.415,0.8,-1.442,-1.417,0.3,0.04,0.938
"5",-1.37,1.38,-4.469,0.8,-1.43,-1.418,0.4,0.07,0.903
"6",-1.381,2.779,-4.523,0.8,-1.383,-1.42,0.5,0.08,0.913
"7",-1.388,1.96,-4.548,0.8,-1.332,-1.422,0.6,0.09,0.934
"8",-1.342,5.134,-4.586,0.8,-1.53,-1.424,0.7,0.1,0.933
"9",-1.405,1.833,-4.618,0.8,-1.578,-1.425,0.8,0.13,0.931
"10",-1.416,1.994,-4.647,0.8,-1.475,-1.426,0.9,0.15,0.918
"11",-1.355,2.556,-4.671,0.8,-1.37,-1.428,1,0.16,0.917
