"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Truth CI coverage"
"1",-1.272,1.214,-4.322,0.8,-1.442,-1.42,0,0.06,0.936
"2",-1.246,1.566,-4.382,0.8,-1.403,-1.422,0.1,0.05,0.937
"3",-1.255,1.43,-4.437,0.8,-1.382,-1.425,0.2,0.06,0.936
"4",-1.296,1.909,-4.5,0.8,-1.471,-1.427,0.3,0.09,0.934
"5",-1.286,4.719,-4.538,0.8,-1.456,-1.429,0.4,0.12,0.92
"6",-1.298,2.405,-4.602,0.8,-1.513,-1.43,0.5,0.12,0.898
"7",-1.385,3.263,-4.645,0.8,-1.309,-1.432,0.6,0.15,0.918
"8",-1.338,2.888,-4.689,0.8,-1.395,-1.434,0.7,0.16,0.917
"9",-1.501,34.456,-4.727,0.8,-1.534,-1.435,0.8,0.21,0.911
"10",-1.593,2.986,-4.77,0.8,-1.427,-1.437,0.9,0.24,0.882
"11",-1.565,2.386,-4.809,0.8,-1.371,-1.438,1,0.24,0.908
