"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","CI coverage"
"1",-1.35,0.634,-4.316,0.8,-1.296,-1.42,0,0.02,0.98
"2",-1.389,0.703,-4.376,0.8,-1.413,-1.423,0.1,0.03,0.969
"3",-1.413,0.649,-4.435,0.8,-1.416,-1.425,0.2,0.03,0.959
"4",-1.399,0.88,-4.495,0.8,-1.356,-1.427,0.3,0.03,0.948
"5",-1.421,0.798,-4.552,0.8,-1.447,-1.429,0.4,0.03,0.938
"6",-1.449,0.982,-4.61,0.8,-1.376,-1.431,0.5,0.04,0.927
"7",-1.433,1.207,-4.648,0.8,-1.411,-1.432,0.6,0.04,0.927
"8",-1.456,1.018,-4.683,0.8,-1.44,-1.434,0.7,0.05,0.937
"9",-1.396,1.66,-4.727,0.8,-1.521,-1.435,0.8,0.05,0.937
"10",-1.338,1.998,-4.77,0.8,-1.473,-1.437,0.9,0.05,0.926
"11",-1.384,3.434,-4.804,0.8,-1.454,-1.438,1,0.08,0.924
