"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1* ","Percent of Estimation Missing","Type I Error"
"1",-1.3028197839342,0.755101875199129,-4.31814456161739,0.8,-1.35449926241774,-1.80603065578269,0,0.03,0.22
"2",-1.3116473846737,0.69991419981839,-4.38077534170596,0.8,-1.38349177267569,-1.89974451804091,0.1,0.03,0.23
"3",-1.25166692806037,1.97948912231021,-4.43890253557115,0.8,-1.49206372728867,-1.98816424643108,0.2,0.03,0.25
"4",-1.32566041715508,0.998036545450805,-4.50945064285936,0.8,-1.41454761938211,-2.07887156406513,0.3,0.04,0.26
"5",-1.30924747233136,1.12032326452635,-4.56722572958221,0.8,-1.44213098201736,-2.16356041273909,0.4,0.03,0.31
"6",-1.34759596749466,1.1101820050506,-4.60189851817972,0.8,-1.46054028977335,-2.26085255986457,0.5,0.04,0.31
"7",-1.29294510354734,1.16922477805304,-4.65017788868774,0.8,-1.31117009831221,-2.35051611297463,0.6,0.03,0.38
"8",-1.31795130495392,1.21665449786287,-4.69069108465433,0.8,-1.46785985363915,-2.44236310858071,0.7,0.04,0.4
"9",-1.32561781772411,9.63363461010337,-4.73405721413898,0.8,-1.43839663962723,-2.5298803893794,0.8,0.05,0.39
"10",-1.31033228917827,1.51058541380998,-4.77300041523373,0.8,-1.52248058975123,-2.62286155590074,0.9,0.06,0.46
"11",-1.40105027661431,3.31114980392172,-4.81797044326913,0.8,-1.44770237214861,-2.71217410042496,1,0.11,0.41
