"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Truth CI coverage"
"1",-1.403,0.557,-4.319,0.8,-1.477,-1.42,0,0.02,0.969
"2",-1.375,0.657,-4.381,0.8,-1.394,-1.422,0.1,0.01,0.97
"3",-1.412,0.517,-4.44,0.8,-1.387,-1.424,0.2,0.01,0.98
"4",-1.456,0.488,-4.494,0.8,-1.487,-1.427,0.3,0.02,0.969
"5",-1.471,0.507,-4.561,0.8,-1.464,-1.429,0.4,0.02,0.969
"6",-1.484,0.528,-4.597,0.8,-1.381,-1.431,0.5,0.02,0.959
"7",-1.486,0.564,-4.648,0.8,-1.399,-1.432,0.6,0.02,0.939
"8",-1.461,0.679,-4.693,0.8,-1.357,-1.434,0.7,0.02,0.939
"9",-1.386,2.093,-4.733,0.8,-1.446,-1.435,0.8,0.02,0.929
"10",-1.455,0.955,-4.772,0.8,-1.415,-1.436,0.9,0.03,0.928
"11",-1.51,1.971,-4.803,0.8,-1.539,-1.438,1,0.07,0.925
