"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","psi_95_l","psi_95_h"
"0",NA,3.83365411881095,0.319636852715209,0.00261951934801161,0.327651310576818,0.0277018646555644,0.000662339862317627,0.00718333150299911,NA,0.5,-1.74950461426876,0.328304877641882,0.00244870990305856,0.314220504007199,-1.70076879095993,0.366781662437336,0.00254816112501032,0.35282243488961,0,1,NA,NA
"0.1",NA,52.7372445441102,0.335651371431541,0.0024327965261863,0.336705644106356,0.0278549383344339,0.00062196933958333,0.0072054573927333,-0.33156988591671,0.5,-1.8487726327465,0.336986652953556,0.00222967225826833,0.322823733571972,-1.79382000399345,0.380226354751325,0.00232825667222266,0.366228000318753,0.1,0.717171717171717,-0.0457495874703648,2.48829646149588
"0.2",NA,4.11379305553516,0.337009653911622,0.00214569846602735,0.330084375886807,0.0225468722272613,0.00054019447924464,0.00586351145414082,-1.64894486708114,0.6,-1.88956039981619,0.330985359212728,0.00205470645672421,0.317390477270738,-1.88166940269356,0.390241877570074,0.00211601626258176,0.37635138522441,0.2,0.0202020202020202,-1.53739062197253,-0.870948136403875
"0.3",-1.92485924655862,1.78851182386053,0.347270060578297,0.00196624730912101,0.333724647991902,0.0230383483023591,0.000506016621152024,0.00587256062579508,-2.18287349835831,0.6,-1.98098814667076,0.33464205691336,0.00186055063791356,0.321153244490284,-1.97637196892207,0.396535966045686,0.0018921995707229,0.38288088192492,0.3,0,-2.07251459933822,-1.77412338063973
"0.4",-2.38188185841731,1.28744789312208,0.354209797194672,0.00177779699496206,0.334938637078576,0.0234984208987504,0.000471892006268821,0.00588538636231409,-2.55241664745471,0.6,-2.07120892540429,0.336066478457147,0.00167488018188937,0.322777293345763,-2.0648405701752,0.398922333786082,0.00168408378820748,0.385644948411429,0.4,0,-2.44474394037219,-2.29812029926211
"0.5",-2.49222461289329,1.07971821162045,0.337879172465023,0.00157905787547196,0.31873278334237,0.0193916501684344,0.000414114750840104,0.00482649485574661,-2.66069441462224,0.7,-2.07261179106927,0.321324108350376,0.00156869272276984,0.308859984784279,-2.15470992605011,0.397329831578688,0.00148277685654654,0.384540306146773,0.5,0,-2.58612187309617,-2.35326795617443
"0.6",-2.75121710674058,0.951994800755857,0.337779060988901,0.00142068835973319,0.315470878100617,0.0197854789116697,0.000382323025328263,0.00484566416506569,-2.88326906915724,0.7,-2.14989152525726,0.318515267271132,0.00141254163821914,0.306390112671268,-2.24638717459232,0.391805971182121,0.00128920959723607,0.379618402279477,0.6,0,-2.81692782152379,-2.60999391212746
"0.7",-3.00574701300771,0.865820005519736,0.335238441380011,0.00124718291231951,0.310031231804959,0.0202194202119324,0.000351345816339726,0.00487056969455128,-3.10524031899226,0.7,-2.22436422526682,0.313732830732799,0.0012666015296493,0.302019804472692,-2.33875617371071,0.382514570662924,0.00111022449857544,0.371003394317417,0.7,0,-3.05830093526661,-2.96509691414095
"0.8",-2.91681402898953,0.870291306693245,0.310682390746758,0.00113738440396575,0.289655351301999,0.0170298052603939,0.000311377022196239,0.00408044197146387,-3.03828585597632,0.8,-2.19396310335415,0.294436957006991,0.00120603509922703,0.283617984515704,-2.42835960912085,0.369727684111432,0.00094803457315912,0.35897672144096,0.8,0,-2.95945404632813,-2.90034456733965
"0.9",NA,0.968189808605477,0.273050064413609,0.00106825990041999,0.261347435117448,0.0123565002831457,0.00027521500572752,0.00295978362070906,NA,1,-2.07308265214491,0.263688400462266,0.00120976770482041,0.254071605801243,-2.52100998405834,0.35381237049778,0.000799564339356175,0.343864866068305,0.9,0.0404040404040404,-3.01383684649093,-2.52607647464174
"1",NA,1.24175391274623,0.264798805792909,0.000967286233980804,0.25286392396787,0.0125001094602274,0.000254114496076974,0.00299883038570932,NA,1,-2.12512782683373,0.256791853558219,0.00110081866860752,0.247573633432369,-2.61058590145015,0.335213199487106,0.000669422034663871,0.326104359877178,1,0.0202020202020202,-2.69451642959672,-2.59098232429567
