"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","psi_95_l","psi_95_h"
"0",-2.00094204259772,0.429751425679561,0.337141975360308,0.00201431448552774,0.322244382415496,0.00365565979652628,0.000444367278119949,0.00425616463799886,-2.72130291886946,0.6,-1.47119256865758,0.323982513583043,0.00266055438170779,0.312397329078546,-1.70525809247793,0.366781662437336,0.00253526375340668,0.352830598561711,0,0,-2.01031092466999,-1.99226095394213
"0.1",-2.16892733775818,0.425333903633559,0.350012652966203,0.00177113113139994,0.334517636548463,0.00364707426918937,0.000413190913138438,0.00425873067085286,-2.92765406434844,0.6,-1.55820329081471,0.332943322191687,0.00246203384312352,0.321247975258601,-1.79492209512657,0.380226354751325,0.0023253618895093,0.366229988066019,0.1,0,-2.17902532409951,-2.15564831104009
"0.2",-2.30184836356758,0.431817093785251,0.35974857437463,0.00155978062666361,0.344162602639303,0.00363577867730935,0.000386371818833108,0.00425522104440926,-3.08574443524661,0.6,-1.64418603610827,0.33961057557768,0.0022621924644707,0.327899670142505,-1.88210699778981,0.390241877570074,0.00211573791076395,0.376347133510526,0.2,0,-2.31025106914233,-2.29056098878307
"0.3",-2.408510521122,0.443866243584658,0.365890901504406,0.00138395461003185,0.350505670281837,0.00362464837014452,0.000363908383531473,0.00424572073096762,-3.19558610323643,0.6,-1.72849089749198,0.343818378349397,0.00206468561018722,0.332189763412695,-1.97228138704599,0.396535966045686,0.00189859514284359,0.382890659752049,0.3,0,-2.41708288137241,-2.39233058850615
"0.4",-2.48095618313472,0.463686654979068,0.368547440096276,0.00123838711745295,0.353745967824117,0.00361670827669685,0.000345362024439026,0.0042350810781196,-3.2548676639802,0.6,-1.81054362894268,0.345453502942017,0.00187269370889616,0.334004284041874,-2.06461998990051,0.398922333786082,0.00168361932639541,0.385651537846015,0.4,0,-2.49120436160254,-2.46406197241588
"0.5",-2.55413349714235,0.481929717219487,0.368034943687808,0.001115467494691,0.353690810597147,0.00361609979415854,0.000329689239165831,0.00422352790336591,-3.30688215277834,0.6,-1.88986236932995,0.344460795734125,0.00168885792047827,0.333283160999807,-2.16014314293205,0.397329831578688,0.00147196364415841,0.384564405042129,0.5,0,-2.56385638947853,-2.53529227666918
"0.6",-2.63621427864736,0.494418834030507,0.364689135018357,0.0010143612806642,0.350529610618286,0.00362470814926094,0.000315990621098127,0.00421403799244803,-3.36295981745792,0.6,-1.96607424428449,0.340846580049151,0.00151523421084302,0.330023896437613,-2.2469018510281,0.391805971182121,0.00128781562646953,0.379625312725326,0.6,0,-2.64725891214024,-2.61649679294896
"0.7",-2.73052235215795,0.504249309136963,0.358708554367607,0.000923007284810768,0.344549595254666,0.00364153334587663,0.000303474739647646,0.00420792106429378,-3.44836600794755,0.6,-2.03893175069094,0.334679698298485,0.0013532721335995,0.32428332303399,-2.33808352244222,0.382514570662924,0.00111032850527656,0.371010057070305,0.7,0,-2.74163610268584,-2.70895230860031
"0.8",-2.83975812120008,0.50964253866641,0.350249868368274,0.000841986189669758,0.335842785797591,0.00366275947925321,0.000291268323484199,0.0042067474829759,-3.56086619676049,0.6,-2.10832730793343,0.326089940463677,0.00120382389880971,0.316177105477822,-2.42373504787276,0.369727684111432,0.000951810567572786,0.358983701935508,0.8,0,-2.8500715020114,-2.82817754017298
"0.9",-2.91226984622212,0.523130287714114,0.339211041813261,0.000772449301066736,0.325000890264159,0.00368365901724049,0.000278991903775691,0.00421078692217447,-3.64423678587962,0.6,-2.17430306088311,0.315263768720578,0.00106718591042928,0.305876745241325,-2.52126887108212,0.35381237049778,0.000799271241679346,0.343865937873083,0.9,0,-2.92754137845239,-2.8866126542212
"1",-2.91633555960272,0.558922520717408,0.325335704823698,0.000705940746046949,0.312295452423992,0.00369898347239987,0.000266782205445834,0.00421797557109002,-3.67640723240973,0.6,-2.23705250495569,0.302437453550565,0.000943170398992196,0.293604016453362,-2.6087268884399,0.335213199487106,0.000670974759490546,0.326100188880029,1,0,-2.93412250047384,-2.8905688150801
