"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.67455054235841,0.332707408915972,0.00230017935099373,0.320591819280978,-1.80490230447641,0.366781662437336,0.0022748916578659,0.352951737296814,0,0.38
"0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.862227076297,0.342534456122227,0.00190703047759523,0.330322795250434,-1.89817539196052,0.380226354751325,0.00207365357698232,0.366387399544998,0.1,0.36
"0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.91019025483228,0.336382580520772,0.00176373556876971,0.324546909764535,-1.98555741736934,0.390241877570074,0.00188682250828187,0.376499949269336,0.2,0.32
"0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.91516911254441,0.340762487510378,0.00173009708410095,0.329457877123098,-2.07900147273451,0.396535966045686,0.00168910492771814,0.383029071896672,0.3,0.35
"0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.8946961057831,0.339639496173719,0.00171108694089556,0.328478355379339,-2.16752898562501,0.398922333786082,0.00150297534419045,0.38579133582156,0.4,0.35
"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.96084555679813,0.327322173974372,0.00149475318486758,0.316889939073394,-2.25854330171592,0.397329831578688,0.00132224469060616,0.384677087469853,0.5,0.39
"0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.01122403801974,0.323445653747436,0.00132647849553277,0.313631535266416,-2.35227051835351,0.391805971182121,0.00114799130028605,0.379741266300511,0.6,0.33
"0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.04873808008578,0.316729401191214,0.00125509443259836,0.307320261903703,-2.44055138500462,0.382514570662924,0.000992332535292679,0.371123219766355,0.7,0.3
"0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.03627885082412,0.297038312947865,0.0011476516588874,0.288352041306548,-2.53248669741933,0.369727684111432,0.000845467482134113,0.359087677278437,0.8,0.3
"0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.83046296519401,0.265547749809428,0.00128858653781869,0.257610280836014,-2.62305446414412,0.35381237049778,0.000714269725956305,0.343971345780164,0.9,0.36
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.0747795180701,0.258669318149955,0.000943122439650382,0.251266173861544,-2.71569590859091,0.335213199487106,0.000595765161636497,0.326208134504104,1,0.3
