"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.69188380356401,0.296287449993976,0.00207701767973549,0.285104446222201,-1.81069073336558,0.366781662437336,0.00225530291559237,0.35299123030529,0,0.07
"0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.69852656444479,0.302381066466784,0.00201702045831138,0.291381294707394,-1.89820151442991,0.380226354751325,0.00207543435523463,0.366375153330869,0.1,0.07
"0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.69739531844264,0.307271575174102,0.00193677235260838,0.296764702732234,-1.98585471329786,0.390241877570074,0.00188777402702622,0.376488931170222,0.2,0.1
"0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.81293051828584,0.310677888382951,0.00170139702851683,0.300408578612432,-2.07787875097552,0.396535966045686,0.00168861898344568,0.383048109354558,0.3,0.1
"0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.76600030840384,0.311339939296877,0.00173016825676954,0.301240439938129,-2.16824971335502,0.398922333786082,0.00150237581751037,0.38578711017849,0.4,0.09
"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.89545371345994,0.310200600237691,0.00154921174484571,0.299994611596328,-2.26043529211942,0.397329831578688,0.00131929296463765,0.384681424907865,0.5,0.09
"0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.02775844915496,0.308845406893703,0.00132060488809838,0.298947501239558,-2.34845084825124,0.391805971182121,0.00115275831215862,0.379737354132474,0.6,0.1
"0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.08566534608178,0.303458653019934,0.00117298739923111,0.294120383814891,-2.4406678882524,0.382514570662924,0.000990991309200671,0.371137290782126,0.7,0.08
"0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.08701275514393,0.297417553630353,0.00108968584284545,0.288855330955289,-2.53455013525767,0.369727684111432,0.000843371091885625,0.35909213668559,0.8,0.07
"0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.19804079808874,0.289326000964209,0.000959316436984524,0.281061614043155,-2.62529565084548,0.35381237049778,0.000712140292740223,0.343978670083655,0.9,0.08
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.13413033821958,0.279845376070563,0.000946803055405047,0.272021255329345,-2.71541916609647,0.335213199487106,0.000596362822626856,0.326201595022446,1,0.09
