"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.45556942519797,0.296742631646643,0.0024566463748666,0.286276900638545,-1.80613329179848,0.366781662437336,0.00226708630116081,0.352982212509838,0,0.05
"0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.41404518196542,0.301919925996886,0.00243793489078854,0.291959732684521,-1.89871686541723,0.380226354751325,0.00207185308092339,0.366391926579192,0.1,0.04
"0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.48620988180287,0.307514429128801,0.00228789469216964,0.297434262063837,-1.98365031491331,0.390241877570074,0.00189178456329044,0.376490061243359,0.2,0.04
"0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.35233030344288,0.310699985313395,0.00234798000365454,0.301705162298139,-2.07664598497891,0.396535966045686,0.00169174025936465,0.383039825981832,0.3,0.03
"0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.41232996578665,0.311487228452626,0.00212433363598263,0.302746897976347,-2.16905781873042,0.398922333786082,0.0014991557810342,0.385804666678857,0.4,0.05
"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.40299029586138,0.311460918545545,0.00219592004241979,0.302599195460194,-2.26089588670683,0.397329831578688,0.0013178511311429,0.384689427381497,0.5,0.05
"0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.42223624890934,0.307395183108974,0.00187014486116157,0.299731075214513,-2.35259119163182,0.391805971182121,0.00114691670095181,0.379748693872763,0.6,0.07
"0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4774948848772,0.302900218591369,0.00173802310406192,0.295322216266049,-2.44035832871638,0.382514570662924,0.00099136646196026,0.371136506497068,0.7,0.07
"0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.46253090157207,0.296791530217931,0.0015010456604857,0.290325853476822,-2.53230991302746,0.369727684111432,0.000844837540426462,0.359097484364266,0.8,0.1
"0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.44576913002804,0.290006539444633,0.0015234952419364,0.28365272109827,-2.62312077357925,0.35381237049778,0.000714200247621456,0.343971650523857,0.9,0.16
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.47728452763996,0.280358349719174,0.00128726936302438,0.274729877980528,-2.71535787114612,0.335213199487106,0.000596148529080579,0.326205385350395,1,0.17
