"","X.1","X","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.53200678874547,0.295031179281706,0.00232509600626277,0.28433009869704,-1.40132615156332,0.366781662437336,0.00348792632097805,0.352618653888803,0,0.08
"2",2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.57692390004407,0.30284593991932,0.00222427089010441,0.292108697971157,-1.40390259654036,0.380226354751325,0.003342972912623,0.366616922486528,0.1,0.08
"3",3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.62747199139155,0.3070774493366,0.00217203683363469,0.296120355397842,-1.40647464323384,0.390241877570074,0.00316709252432262,0.377315259192832,0.2,0.08
"4",4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.66980308570336,0.309975816154899,0.00204035163249389,0.299138818767734,-1.40881973659753,0.396535966045686,0.00296688236612646,0.384398082542084,0.3,0.07
"5",5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.81509912119891,0.311194442847495,0.00183577052039789,0.299981121416758,-1.41094766823208,0.398922333786082,0.00276382933116937,0.387591078917432,0.4,0.06
"6",6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.78422312790106,0.310736742209926,0.00182652850966148,0.300006203602027,-1.41290876892828,0.397329831578688,0.00253549930419335,0.386914287109475,0.5,0.08
"7",7,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.90443227709535,0.307496417220995,0.00159460540179918,0.29695588184079,-1.41465917103506,0.391805971182121,0.00231550254663886,0.382277484424733,0.6,0.08
"8",8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.84338065603294,0.302769126353782,0.00161827800851715,0.292587870626,-1.41627103930327,0.382514570662924,0.00208806114882797,0.373908163070396,0.7,0.1
"9",9,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.92721085715953,0.297139822552504,0.00137039414650422,0.287784581741073,-1.41787834058618,0.369727684111432,0.0018603861194775,0.362047355010816,0.8,0.1
"10",10,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.09509074539026,0.289679498287376,0.00113489198618294,0.280606105439629,-1.41939016791187,0.35381237049778,0.00164617718226566,0.347006089183368,0.9,0.09
"11",11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.02231077942059,0.280370500130965,0.00117437651723583,0.271615720715557,-1.42077986875706,0.335213199487106,0.00143984779345495,0.329251728397302,1,0.11
