"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"0",-2.76121999419774,1.40839751548037,0.367209206273446,0.00179734309606299,0.337807476125964,0.0363479496784024,0.000568338897079081,0.00964335736606948,-3.20398392146136,0.39,-1.87476409451879,0.343330772367967,0.00186004953274568,0.33120458678117,-1.70549342542025,0.366781662437336,0.00253362162858474,0.3528363534511,0,0.02
"0.1",-2.25610504721869,967.128010854575,0.362224607529407,0.00165365548985289,0.344248529650799,0.0380403743998972,0.000563640961817487,0.0101304943067441,-3.050802108875,0.363,-1.94357629135482,0.356359547092644,0.00174871861425895,0.344147052303796,-1.79359331634981,0.380226354751325,0.00232782526295573,0.366233766419881,0.1,0.04
"0.2",-1.83513040108833,34.5234493916015,0.345611309136453,0.00155895393082799,0.3475132741375,0.0437730505009547,0.000615490933942221,0.01167519736963,-2.59429297768379,0.305,-2.02589747574868,0.369756334164892,0.00163117531884133,0.35738727302671,-1.88383573787188,0.390241877570074,0.00210986709545478,0.376361714612904,0.2,0.58
"0.3",-2.17116270055003,4.22324042266604,0.350822231912841,0.00246334642564044,0.329370294176802,0.0810421945056377,0.00141837049808186,0.0225391727839486,-2.59742721388435,0.103,-2.59901998989935,0.378507265486738,0.00108856903846569,0.363865413316301,-1.97537859960637,0.396535966045686,0.00189179615341265,0.382897348107438,0.3,0.02
"0.4",-1.62557785765657,7.73196330797702,0.366097524492057,0.00238545470377676,0.355443614437821,0.0877975949870715,0.001389663514897,0.0229943835368705,-2.28003682367711,0.111,-2.79701452356592,0.38740847954712,0.000795049899361487,0.374373139637135,-2.06295127811193,0.398922333786082,0.00168867851251571,0.385633852969703,0.4,0.08
"0.5",NA,1.13181145079217,0.309949506843699,0.00123422587557268,0.352986781350515,0.0394863725958875,0.000538056271944495,0.0115441439574563,-2.51366540721571,0.336,-2.50693808974079,0.371015370481934,0.000958852733941246,0.359252825703968,-2.15441342980961,0.397329831578688,0.00148383870629885,0.384534941480125,0.5,1
"0.6",-0.243370768379224,1.05704909365531,0.30494548178188,0.00112548988268879,0.334229003542077,0.0246098720634168,0.000396595084728411,0.00718257304242536,-1.27054327166525,0.527,-2.43623595273007,0.343550928408754,0.000948945647652705,0.332704539583378,-2.24695960782885,0.391805971182121,0.00128876921768794,0.379615589233505,0.6,0.99
"0.7",NA,1.04306307033691,0.298136535983917,0.00101077434163737,0.325666626341019,0.0236277534961378,0.000364571465184702,0.00679740104855762,-0.0334262990788423,0.559,-2.50487652745691,0.33313835148556,0.000847058390779598,0.322768622586421,-2.33795883098625,0.382514570662924,0.00111130727212209,0.371001351404038,0.7,1
"0.8",NA,1.17319015199169,0.287826878876069,0.000939753111165101,0.308985056234607,0.021215735235056,0.000324773288298831,0.00592288868567397,-2.15386089199727,0.642,-2.51548400705598,0.314714778336901,0.000784281304331844,0.305011182801162,-2.42825990739908,0.369727684111432,0.000947069242017802,0.35898873929595,0.8,1
"0.9",NA,1.39617159664774,0.274188148868971,0.000869592815907928,0.288860568746356,0.0185516281993521,0.000286045374395105,0.00500163626715049,-0.0346162522509292,0.747,-2.49811176962603,0.293252919229701,0.000739187681700202,0.284264757514867,-2.51907846404858,0.35381237049778,0.00080022295369813,0.34387588321606,0.9,1
"1",NA,1.60609398320033,0.257975916323478,0.000808966170466434,0.27609571366632,0.0214940639500441,0.000298324976115676,0.00587056688898957,0.180122544406691,0.77,-2.55032812258705,0.281049193263288,0.000663578329489734,0.272547887716812,-2.60983439154238,0.335213199487106,0.000669912355560418,0.326104535894213,1,1
