"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power"
"0",-1.61993942905403,0.607827782431151,0.32167730545275,0.00225119970808539,0.309497489889118,0.00350205266493955,0.000492553410298559,0.00414392442834055,-1.59790353991,0.6,-1.79563914115767,0.322507023566085,0.00206332756633504,0.31022511596175,-1.80252678121173,0.366781662437336,0.00227801835931896,0.35296558831758,0,0.01,0.23
"0.1",-1.70429557762235,0.605144503658131,0.330437042790272,0.00210711215327409,0.318116889880462,0.00350503154767803,0.000471667981405912,0.00414571087463751,-1.6677561925361,0.6,-1.82508825014943,0.329724938093668,0.00197072384659661,0.317743723927165,-1.89613608657901,0.380226354751325,0.00207784414010986,0.366387683030103,0.1,0.01,0.19
"0.2",-1.76732155979032,1.31464436945764,0.336905489389667,0.00194732168559249,0.324503062456273,0.00349085735031597,0.000449687496486732,0.00413966125403487,-1.72901792686013,0.6,-1.86215739100045,0.335278091258106,0.00183434525884745,0.323573536486477,-1.98711776560709,0.390241877570074,0.00188242302555382,0.37651058227291,0.2,0.01,0.15
"0.3",-1.84643911656065,0.649029748392174,0.340988021225176,0.0017874180389845,0.328699115876307,0.00348855499827014,0.000427039853900088,0.00413565109585406,-1.81183742517578,0.6,-1.94132687654413,0.339983361393106,0.00171716798092531,0.328149994176886,-2.07437563839402,0.396535966045686,0.00169598700095388,0.38303662988163,0.3,0,0.17
"0.4",-1.92522772259742,0.650657546545524,0.342583596515602,0.00163286980375568,0.330464067280277,0.0034833484674581,0.000404153782310938,0.00413051473532164,-1.8807999681673,0.6,-2.0100950452598,0.342709975016388,0.00154781615023882,0.331340660484593,-2.17098363071828,0.398922333786082,0.00149839150866825,0.385786080479428,0.4,0,0.18
"0.5",-2.04473385200591,1.03553613109638,0.3416321359216,0.00147897278402139,0.329852318868597,0.0034945728951845,0.00038074795275351,0.00413479233509187,-2.00797363710113,0.6,-1.95346323609828,0.341411337100258,0.0015138588808824,0.330834002830376,-2.26056325144356,0.397329831578688,0.00131796614230689,0.384692528543237,0.5,0.02,0.13
"0.6",-2.11649608257548,0.813954403339925,0.338180894660349,0.00132815104282902,0.326835794886504,0.00349632177900454,0.000357549747714806,0.00412987395675591,-2.10145070780119,0.6,-2.04565065154525,0.338309443882461,0.00134612291607673,0.3279052167147,-2.35051212702395,0.391805971182121,0.00114902478472445,0.379751619907911,0.6,0.02,0.16
"0.7",-2.16016683325151,0.74961149786565,0.332281157530744,0.00119965182241822,0.321542950090661,0.00349714712372503,0.000334535885416779,0.00412897269262415,-2.11276600546291,0.6,-2.05948494835657,0.332500730181427,0.00126794281035552,0.322845750326893,-2.44283667383553,0.382514570662924,0.000988236602713562,0.371144283764646,0.7,0.02,0.18
"0.8",-2.227429521371,0.758279968174199,0.324144056453785,0.00106813946283976,0.313923481209407,0.00350768168525154,0.000311643724541629,0.00411853633044598,-2.17868935460511,0.6,-2.28482244994882,0.322446436039646,0.000934751947931576,0.31343344161922,-2.53050723529433,0.369727684111432,0.000846795475286783,0.359092038509068,0.8,0.02,0.18
"0.9",-2.28583760629415,0.864922474404261,0.313810882862055,0.000942963733381598,0.304364938661303,0.00351240715945226,0.000289360479920736,0.00410921187850845,-2.23659108879876,0.6,-2.15171105378537,0.314783953136448,0.00100873962070166,0.306169232889016,-2.62165473689125,0.35381237049778,0.00071484681811266,0.343977170988774,0.9,0.03,0.16
"1",-2.31580682135613,1.01031396373469,0.301588139004912,0.000816910907120109,0.292873154815762,0.00350714197434784,0.000267325969542441,0.00409014841501168,-2.2956808771246,0.6,-2.40664118851592,0.301492786154362,0.000776606370871152,0.293460004532182,-2.71625338527496,0.335213199487106,0.0005955995632434,0.326205617426993,1,0.03,0.23
