"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power"
"0",-1.61993942905403,0.607827782431151,0.32167730545275,0.00225119970808539,0.309497489889118,0.00350205266493955,0.000492553410298559,0.00414392442834055,-1.59790353991,0.6,-1.73582965873638,0.320539246134245,0.00209471123355259,0.308720814975008,-1.70330041809643,0.366781662437336,0.00254191018136743,0.352821381014011,0,0.01,0.23
"0.1",-1.70429557762235,0.605144503658131,0.330437042790272,0.00210711215327409,0.318116889880462,0.00350503154767803,0.000471667981405912,0.00414571087463751,-1.6677561925361,0.6,-1.69271213865596,0.328797814272912,0.00225662838182685,0.316680604694301,-1.79298822416323,0.380226354751325,0.00232834233939244,0.366239124391543,0.1,0.01,0.19
"0.2",-1.76732155979032,1.31464436945764,0.336905489389667,0.00194732168559249,0.324503062456273,0.00349085735031597,0.000449687496486732,0.00413966125403487,-1.72901792686013,0.6,-1.63800851698706,0.336739697334262,0.00238125330420963,0.324666753579421,-1.88482577521638,0.390241877570074,0.00211072538683045,0.37634231390209,0.2,0.01,0.15
"0.3",-1.84643911656065,0.649029748392174,0.340988021225176,0.0017874180389845,0.328699115876307,0.00348855499827014,0.000427039853900088,0.00413565109585406,-1.81183742517578,0.6,-1.79458488008142,0.340811748378231,0.00195701391738852,0.329217810695211,-1.97306900204321,0.396535966045686,0.00189608022181009,0.382897997386268,0.3,0,0.17
"0.4",-1.92522772259742,0.650657546545524,0.342583596515602,0.00163286980375568,0.330464067280277,0.0034833484674581,0.000404153782310938,0.00413051473532164,-1.8807999681673,0.6,-1.97323170715406,0.342744498166588,0.00162369856422785,0.331210490257025,-2.06733281049665,0.398922333786082,0.00168068488962711,0.385638680630532,0.4,0,0.18
"0.5",-2.04473385200591,1.03553613109638,0.3416321359216,0.00147897278402139,0.329852318868597,0.0034945728951845,0.00038074795275351,0.00413479233509187,-2.00797363710113,0.6,-1.94244497674553,0.342238056824509,0.00160616166629595,0.331139153334513,-2.15917145177038,0.397329831578688,0.00147580679735218,0.38454350615891,0.5,0.02,0.13
"0.6",-2.11649608257548,0.813954403339925,0.338180894660349,0.00132815104282902,0.326835794886504,0.00349632177900454,0.000357549747714806,0.00412987395675591,-2.10145070780119,0.6,-2.05350059333234,0.338928574184932,0.00142875519694207,0.327854858186721,-2.24779565150929,0.391805971182121,0.00128872978791516,0.379605766555708,0.6,0.02,0.16
"0.7",-2.16016683325151,0.74961149786565,0.332281157530744,0.00119965182241822,0.321542950090661,0.00349714712372503,0.000334535885416779,0.00412897269262415,-2.11276600546291,0.6,-2.08866115739211,0.331777187314384,0.00137192798636921,0.320930624224647,-2.33830111493349,0.382514570662924,0.0011102485823274,0.371008381792838,0.7,0.02,0.18
"0.8",-2.227429521371,0.758279968174199,0.324144056453785,0.00106813946283976,0.313923481209407,0.00350768168525154,0.000311643724541629,0.00411853633044598,-2.17868935460511,0.6,-2.15500481647856,0.32337140666531,0.00121157629324254,0.313393817803156,-2.42680618922175,0.369727684111432,0.000949504036439372,0.358976770999579,0.8,0.02,0.18
"0.9",-2.28583760629415,0.864922474404261,0.313810882862055,0.000942963733381598,0.304364938661303,0.00351240715945226,0.000289360479920736,0.00410921187850845,-2.23659108879876,0.6,-2.29063052244677,0.313432677475706,0.00094809467984106,0.304361348234618,-2.51857932742886,0.35381237049778,0.000801056585842428,0.343870495474441,0.9,0.03,0.16
"1",-2.31580682135613,1.01031396373469,0.301588139004912,0.000816910907120109,0.292873154815762,0.00350714197434784,0.000267325969542441,0.00409014841501168,-2.2956808771246,0.6,-2.37014051617462,0.301812520320222,0.000866822436126581,0.292711342978345,-2.60877327663239,0.335213199487106,0.00067109720514277,0.326098103030902,1,0.03,0.23
