"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power"
"0",-1.76630480213909,5.37316049464875,0.343427437654581,0.00246868305913948,0.336330838603215,0.0233871108583755,0.000611536960627802,0.00537209995492915,-1.85222252711327,0.5,-1.55474535057696,0.334846018775374,0.00259044136129354,0.322591169115375,-1.70090049117734,0.366781662437336,0.00254990808308579,0.352811024963584,0,0.37,0.37
"0.1",-1.80710212393196,4.81202997509353,0.354076335178383,0.00229803577431127,0.347190534378424,0.0234536845602169,0.000583557921302044,0.00536992930186661,-2.1976423805457,0.5,-1.72857583670067,0.342961591397965,0.00225769950813956,0.330481415831646,-1.79604275947074,0.380226354751325,0.00231966958948612,0.366248594449233,0.1,0.37,0.35
"0.2",-1.83154014433599,3.21232861632591,0.353783423016856,0.00211398933072892,0.349790706622328,0.0191075444849141,0.000516188063269021,0.00441474152820511,-2.3528873817029,0.6,-1.80614205521297,0.335994184545395,0.00198466667485744,0.324101944894493,-1.88366329969978,0.390241877570074,0.00210905933097441,0.376369420992862,0.2,0.42,0.3
"0.3",-2.10158977049613,22.4972372223854,0.358584370539102,0.00194779902818928,0.354876721094761,0.0190817198400117,0.000491068590418279,0.00439673796650711,-2.32213535389809,0.6,-1.89188442921279,0.340908849494963,0.0017747853787958,0.329241262931649,-1.97476606627914,0.396535966045686,0.00189317350243803,0.382895775948605,0.3,0.47,0.27
"0.4",-1.94520891176058,4.49486648829647,0.360608949736771,0.0017821329581531,0.357121054824507,0.0190519892111176,0.000465928832300457,0.00438529554943454,-2.49071868845241,0.6,-1.89491167637657,0.343591777557969,0.00173821806190329,0.332216108264708,-2.0673619089725,0.398922333786082,0.00167905223635491,0.385651198491316,0.4,0.42,0.29
"0.5",-2.08637040393577,36.5994698091532,0.351263980092129,0.00162921260860817,0.350345426365975,0.0157067857917514,0.000415445565996551,0.00365795629369605,-2.76405265703562,0.7,-1.84927255051451,0.32572519180098,0.00167156749574828,0.31531138136884,-2.15770605774063,0.397329831578688,0.00147924886961823,0.384532451147646,0.5,0.5,0.22
"0.6",-2.24487275292912,3.62527780594473,0.34804375982336,0.00148386595334527,0.346771613005392,0.015729791841333,0.000391005543143639,0.00366642328981065,-2.75496159801405,0.7,-2.04034227692623,0.322801998085122,0.00140290882179476,0.312304268373298,-2.24740290650733,0.391805971182121,0.00128862205987487,0.379611576628445,0.6,0.5,0.19
"0.7",-2.38006326754543,2.60790043007604,0.342298999043073,0.00133697521373937,0.340408141438101,0.015768677998237,0.0003673733325983,0.00369133957368552,-2.92000376105585,0.7,-2.01367067303896,0.316998455198949,0.00127865574414445,0.307426067157925,-2.33657071772534,0.382514570662924,0.00111196826556524,0.371010483531217,0.7,0.48,0.24
"0.8",-2.28530145197388,3.79846498171971,0.326644201539428,0.00122060757821151,0.326104815555089,0.0133913708535324,0.000329541549733283,0.00318434842748547,-3.11922369810491,0.8,-1.94335283834565,0.296947000595404,0.0013196469430328,0.287822728507033,-2.42674462382736,0.369727684111432,0.000950556748759838,0.358965514091607,0.8,0.52,0.19
"0.9",-2.40671300305221,2.15402481088553,0.303215185380721,0.0011369749830741,0.305384028316001,0.0102145838508529,0.000290972425894656,0.00248255745161323,-3.2851290931508,1,-1.87262148519902,0.265915517089641,0.00129227410540185,0.257544390560497,-2.51861138300294,0.35381237049778,0.00080246567933776,0.343852688024156,0.9,0.58,0.15
"1",-2.20467764028534,2.64824650414551,0.292856652773241,0.00102647177364539,0.29301054091006,0.0103909670524675,0.000273314296626105,0.00254336319414222,-3.47597093713101,1,-1.94207073500049,0.258415577933556,0.00115341614001371,0.250444424884453,-2.61004802507656,0.335213199487106,0.000669192198276078,0.326112383696221,1,0.47,0.21
