"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power","bias.mean","bias.sd","bias.min","bias.max","ci.coverage.true.psi","ci.coverage.smooth.true.psi"
"0",-1.49682975105876,1.30167907291885,0.333731006487114,0.00245375302442837,0.321130077378923,0.00445963058313466,0.000563809055245665,0.00733963754021815,-1.48012914587931,0.5,-1.60102879915787,0.332876527153746,0.00246728857668065,0.320814771849444,-1.70304230640436,0.366781662437336,0.00254288615273448,0.352819625166949,0,0.06,0.36,0.206212555345596,0.84257491128942,-1.103798266284,2.4312935664186,0.936170212765957,0.914893617021277
"0.1",-1.69430455339889,1.66427658798022,0.343626873452694,0.00228845093139011,0.3305584615994,0.00446326167876023,0.000541561155443131,0.00736148102816356,-1.67753723662644,0.5,-1.53347013145485,0.343702910787952,0.0025923415067229,0.331809163114444,-1.79273895649722,0.380226354751325,0.00232896242135313,0.366238886383578,0.1,0.09,0.33,0.0984344030983338,0.739747082015592,-1.09634078921961,2.26237269438702,0.956043956043956,0.846153846153846
"0.2",-1.70986586935023,1.03621897326963,0.336938164216785,0.0021115845151318,0.324284917639392,0.0036198057320095,0.000476115767779308,0.00600409549718826,-1.69048592502958,0.6,-1.72099962479298,0.336897554732829,0.00214861890009623,0.324972217585872,-1.88272265374423,0.390241877570074,0.002114008846281,0.376349938820892,0.2,0.05,0.28,0.172856784394001,0.704820626207243,-0.890878321413041,3.17276484729861,0.957894736842105,0.894736842105263
"0.3",-1.79494520068264,1.52336120749141,0.341020308206097,0.00196209056741864,0.328263769042165,0.00361199247556036,0.000455698099953467,0.00599754210424213,-1.77159306804244,0.6,-1.77617382169072,0.340091541009495,0.00194595565703143,0.328676855977275,-1.97698458111195,0.396535966045686,0.00188914087699114,0.382894600722685,0.3,0.05,0.28,0.182039380429312,0.766500903146797,-0.956968742381787,4.79713532144075,0.947368421052632,0.894736842105263
"0.4",-1.8885058427068,0.971401228036436,0.34260630770516,0.00180458417461989,0.329861673605898,0.00360987755318728,0.000434460890790544,0.00599559829155942,-1.86407194274082,0.6,-1.9075450174116,0.342860191565587,0.00177052029830664,0.33124959741886,-2.06575773131117,0.398922333786082,0.00168271172916005,0.385643592618899,0.4,0.05,0.31,0.177251888604374,0.710239590261649,-1.16174116258597,3.19202586100809,0.947368421052632,0.905263157894737
"0.5",-1.91224533788012,0.823034924256155,0.326450565926143,0.00166638641887263,0.314623045754753,0.00295431190840288,0.000384990832398918,0.00492869700289693,-1.88734190973222,0.7,-1.87893733474569,0.325882877227094,0.00165935537269435,0.315036389733323,-2.15517735454364,0.397329831578688,0.00148034979117123,0.384555270728492,0.5,0.04,0.25,0.242932016663517,0.593581831436434,-0.90237142487936,2.06958180260328,0.958333333333333,0.885416666666667
"0.6",-1.99400956696917,1.16417280692744,0.323434126789528,0.00152220274783458,0.31185411395798,0.00296555839364754,0.000364786085133955,0.00493531438084129,-1.96692010553971,0.7,-1.88690283058731,0.321701610056864,0.00155908818799146,0.311495613299008,-2.24770087248395,0.391805971182121,0.00128680852857216,0.379625109364257,0.6,0.05,0.25,0.253691305514778,0.608152102146979,-1.04673663424997,2.94822310453979,0.978947368421053,0.884210526315789
"0.7",-2.05170660349692,1.06006386759182,0.318296873699196,0.0013844434598385,0.307111605765113,0.00298315200000737,0.000344347976742558,0.00494724755381937,-2.02840934160322,0.7,-2.09630200600199,0.317740549485836,0.00127463337764358,0.307445910657943,-2.33780812964478,0.382514570662924,0.00111205476311498,0.370995343440094,0.7,0.05,0.24,0.28610152614786,0.647514390629296,-1.42939817605289,2.99373602014734,0.957894736842105,0.91578947368421
"0.8",-1.99676083447462,0.998152728500878,0.297868971907695,0.00128282797408311,0.287687587878996,0.00249893647814973,0.000307553124883594,0.00414870175007052,-1.98017553666717,0.8,-2.02378805272222,0.296947346080195,0.00129045552057425,0.287289722855061,-2.43232959173829,0.369727684111432,0.000944259270862584,0.358976938702566,0.8,0.03,0.17,0.435568757263665,0.659910227305229,-0.81511227231961,3.19012568456978,0.989690721649485,0.907216494845361
"0.9",-1.99676438110526,0.601842869202719,0.268803024283019,0.00123609157832435,0.258464204403032,0.00181218482573363,0.000267587836622123,0.00303149664049525,-2.02175316506615,1,-1.90123024262049,0.265867591355692,0.00128636298522063,0.257329982675022,-2.51694227129924,0.35381237049778,0.000803500709548641,0.343856473282383,0.9,0.03,0.12,0.52017789019398,0.746517642463221,-1.64933836102686,3.26822415880249,0.896907216494845,0.876288659793814
"1",-2.01688436701144,0.794771672799297,0.261293690799193,0.00113537823120664,0.251897917645474,0.00184657620066655,0.000252290141371478,0.00306569176480913,-2.04938965204158,1,-2.05500249353651,0.258687792611628,0.0010400036654873,0.250729348343971,-2.60936962922653,0.335213199487106,0.000670349037060138,0.326102833562525,1,0.03,0.15,0.592485262215092,0.792963103071621,-1.59403187799324,4.62595918520217,0.927835051546392,0.907216494845361
