"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power","bias.mean","bias.sd","bias.min","bias.max","ci.coverage.true.psi","ci.coverage.smooth.true.psi"
"0",-1.49702572457696,1.85817220571606,0.295738526551258,0.00213096718323547,0.285269851713898,0.00320617336547105,0.000427905514646736,0.00614738699617524,-4.47118807644854,0.8,-1.69188380356401,0.296287449993976,0.00207701767973549,0.285104446222201,-1.81069073336558,0.366781662437336,0.00225530291559237,0.35299123030529,0,0.07,0.35,0.313665008788616,0.7551157117564,-1.02909507266739,3.71075723650821,0.978494623655914,0.956989247311828
"0.1",-1.52162534767236,2.95914435920869,0.30233248637683,0.00200472324961633,0.291834515041842,0.00319460622594035,0.000411456350472596,0.00610759307947287,-4.55309120246175,0.8,-1.69852656444479,0.302381066466784,0.00201702045831138,0.291381294707394,-1.89820151442991,0.380226354751325,0.00207543435523463,0.366375153330869,0.1,0.07,0.36,0.376576166757558,0.961746297958081,-1.0378895022171,5.65550388465628,0.989247311827957,0.946236559139785
"0.2",-1.73181589622204,1.13499781685403,0.3072072696161,0.00187486918169308,0.296708966694289,0.00319127041248793,0.000394049933545347,0.00609247953518732,-4.64283719415725,0.8,-1.69739531844264,0.307271575174102,0.00193677235260838,0.296764702732234,-1.98585471329786,0.390241877570074,0.00188777402702622,0.376488931170222,0.2,0.1,0.27,0.254038817075825,0.574502847630306,-1.03208271660176,2.04231286341977,0.988888888888889,0.955555555555556
"0.3",-1.80946164546811,1.1648187770594,0.310243887212915,0.00174306300677347,0.299760477486615,0.00317653438933615,0.000376281678181213,0.00608232493498437,-4.72961936551938,0.8,-1.81293051828584,0.310677888382951,0.00170139702851683,0.300408578612432,-2.07787875097552,0.396535966045686,0.00168861898344568,0.383048109354558,0.3,0.1,0.25,0.268417105507404,0.576236502681953,-1.0114935437783,2.27029436415584,0.988888888888889,0.955555555555556
"0.4",-1.82645674381202,2.16031227134109,0.311413919702212,0.00161167922654347,0.300985964181194,0.00317365480089201,0.00035814395859621,0.00607509259052737,-4.80027469240118,0.8,-1.76600030840384,0.311339939296877,0.00173016825676954,0.301240439938129,-2.16824971335502,0.398922333786082,0.00150237581751037,0.38578711017849,0.4,0.09,0.24,0.341792969543002,0.728833547223449,-0.982845925241756,3.47792372582486,0.989010989010989,0.945054945054945
"0.5",-1.88456985457479,1.7156660058486,0.310681073115708,0.00148037489842689,0.300570389038956,0.00318040723964658,0.000339448041558632,0.00605438998605553,-4.87955395435139,0.8,-1.89545371345994,0.310200600237691,0.00154921174484571,0.299994611596328,-2.26043529211942,0.397329831578688,0.00131929296463765,0.384681424907865,0.5,0.09,0.24,0.375865437544628,0.740253795587706,-0.936848253524464,4.35180565412828,0.989010989010989,0.967032967032967
"0.6",-1.98581229093861,1.5852035131145,0.308028235217944,0.00135270837854005,0.298174127955213,0.00319812066549752,0.000320898054479169,0.00605838968414163,-4.95750712600229,0.8,-2.02775844915496,0.308845406893703,0.00132060488809838,0.298947501239558,-2.34845084825124,0.391805971182121,0.00115275831215862,0.379737354132474,0.6,0.1,0.23,0.362638557312629,0.631559865517903,-0.931567413161497,3.41855508767943,0.988888888888889,0.966666666666667
"0.7",-2.00079975617615,1.55546062769695,0.303601659168578,0.00122841042823826,0.294053180995822,0.00319962676855231,0.000302120696127078,0.00607668163939839,-5.01516014874629,0.8,-2.08566534608178,0.303458653019934,0.00117298739923111,0.294120383814891,-2.4406678882524,0.382514570662924,0.000990991309200671,0.371137290782126,0.7,0.08,0.26,0.439868132076255,0.74305230824834,-0.979429362732444,3.97824476258838,0.989130434782609,0.967391304347826
"0.8",-2.04194206866643,1.33493101977434,0.297424371170939,0.00110949218014168,0.28827639744935,0.0032134705457287,0.000283603080590547,0.00609853728174968,-5.09137677457154,0.8,-2.08701275514393,0.297417553630353,0.00108968584284545,0.288855330955289,-2.53455013525767,0.369727684111432,0.000843371091885625,0.35909213668559,0.8,0.07,0.28,0.492608066591246,0.768742781985634,-0.99789882411849,3.31941894295452,0.989247311827957,0.967741935483871
"0.9",-2.11499505086807,1.71775373464021,0.289565383634973,0.000996186323218124,0.280821842812354,0.00322955875293739,0.00026518264619063,0.006097804854805,-5.1741938002468,0.8,-2.19804079808874,0.289326000964209,0.000959316436984524,0.281061614043155,-2.62529565084548,0.35381237049778,0.000712140292740223,0.343978670083655,0.9,0.08,0.26,0.510300599977404,0.821801866759282,-1.0241678550611,4.58361488286312,0.989130434782609,0.967391304347826
"1",-2.19222322458687,1.67551423078209,0.280214754186281,0.000889194120034206,0.271971827909668,0.00324260433276424,0.000247009350592922,0.0060954377752611,-5.22152000127552,0.8,-2.13413033821958,0.279845376070563,0.000946803055405047,0.272021255329345,-2.71541916609647,0.335213199487106,0.000596362822626856,0.326201595022446,1,0.09,0.29,0.523195941509602,0.774150017801231,-0.910065960392849,3.98178134976178,1,0.956043956043956
