"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power","bias.mean","bias.sd","bias.min","bias.max","ci.coverage.true.psi","ci.coverage.smooth.true.psi"
"0",-1.58645647723597,0.519398276580493,0.296072250570863,0.00213797793883599,0.284903053703939,0.00239157093243082,0.000426279859254862,0.00316052402716096,-4.47217369588529,0.8,-1.71566152824993,0.295015802485595,0.00203922457614689,0.28381144819089,-1.80632763422521,0.366781662437336,0.00226895884804868,0.352968130273829,0,0.04,0.1,0.219871156989245,0.508170229019917,-0.506587396158808,2.98898944852631,1,0.979166666666667
"0.1",-1.66904323128056,0.466021322530164,0.302714227866796,0.00201002438313914,0.291414835609047,0.00237004933610299,0.000409837455062346,0.00314350565752848,-4.55871864598976,0.8,-1.7818587937603,0.30174463903243,0.00182008571621822,0.291071575157948,-1.8946906916267,0.380226354751325,0.00208081645896478,0.366387903547778,0.1,0.04,0.09,0.225647460346134,0.47456146297875,-0.556472673342262,1.96770519527177,0.979166666666667,0.979166666666667
"0.2",-1.75314007227248,0.449331624254755,0.307601422183315,0.00187909825320557,0.296235037162317,0.00235511440505493,0.000392863401327363,0.00313354116013634,-4.63893459179539,0.8,-1.74460649372556,0.306513786146962,0.00191177089749471,0.295658636517904,-1.9872696966439,0.390241877570074,0.00188360495306093,0.376499873049088,0.2,0.04,0.08,0.234129624371424,0.445259455633994,-0.50902710261996,1.63158741274724,1,0.979166666666667
"0.3",-1.81796555724989,0.46283202725992,0.310663850262505,0.00174552606738909,0.299405661207263,0.00233989050340932,0.000374831905516162,0.00312593650756127,-4.7257105013401,0.8,-1.85801645017096,0.310978947819008,0.00167498269854353,0.300509868636961,-2.07970560319947,0.396535966045686,0.00168743196127174,0.383032945198038,0.3,0.04,0.07,0.261740045949583,0.460579280367045,-0.542903634903467,2.31844140062332,1,0.989583333333333
"0.4",-1.88724229130009,0.47109192478111,0.311850393378285,0.00161313229281633,0.30071885194835,0.00233606959779864,0.000356694229280913,0.00312445134362566,-4.79795127204712,0.8,-1.91749543455375,0.312375749780122,0.00151873537121421,0.302169279111728,-2.16736283953124,0.398922333786082,0.00150287107471378,0.385794428120905,0.4,0.04,0.07,0.280120548231148,0.467565532771493,-0.557435900273402,2.2574882182638,1,0.979166666666667
"0.5",-1.96172367965424,0.49239206275121,0.311161812734772,0.00148172699609378,0.300151980817927,0.00234217814781747,0.000338174990764123,0.003124229714578,-4.89173291564487,0.8,-2.00052268165191,0.31069153753376,0.00141487003483286,0.300520649602287,-2.26066066336233,0.397329831578688,0.00131879290065274,0.384683369324294,0.5,0.04,0.07,0.29893698370809,0.490187927796674,-0.575900152568452,2.71478286729364,1,0.979166666666667
"0.6",-2.02547108582447,0.506246360923166,0.308531368163436,0.00135270052132684,0.297835864834628,0.00235164461085828,0.000319562865472779,0.00312290617892929,-4.97168537131407,0.8,-1.86142323792738,0.308807744150527,0.00145119194520631,0.299578313197127,-2.35089755348653,0.391805971182121,0.00114858955540899,0.379751540671739,0.6,0.04,0.06,0.325426467662059,0.499385296935785,-0.618025271695952,2.73782107450635,0.989583333333333,0.927083333333333
"0.7",-2.09532122666333,0.498024387827693,0.304077616549747,0.00122837539937439,0.293759781288367,0.00236998951600045,0.000300948065381847,0.00312887936039063,-5.02074059639376,0.8,-1.97151701506981,0.302799802840557,0.00129675516105078,0.293511440944913,-2.44117172270819,0.382514570662924,0.000991189381792467,0.371129281913,0.7,0.04,0.06,0.345850496044853,0.471200950614537,-0.634097401591242,1.87495075140984,1,0.9375
"0.8",-2.14236509381316,0.546676032361767,0.29786536188346,0.0011087591170721,0.288015652413796,0.00239280879689944,0.000282391068842115,0.0031474832839033,-5.10564404798357,0.8,-2.1363839553806,0.29723743377185,0.00105895345281074,0.288439961191663,-2.53170921471912,0.369727684111432,0.000846214976561429,0.359086546756369,0.8,0.04,0.07,0.389344120905953,0.523780369657581,-0.753506485053035,2.59480138450717,0.989583333333333,0.9375
"0.9",-2.20310645396231,0.555633575743369,0.289980169003864,0.000995289998867942,0.280645887376244,0.00241162051210573,0.000264087135552507,0.0031507942933297,-5.15946187881997,0.8,-2.15803808927561,0.289057119725003,0.000961548316975417,0.280847917662628,-2.62295006419089,0.35381237049778,0.000714436254551536,0.34397007898039,0.9,0.04,0.08,0.419843610228585,0.510697317917572,-0.823256226882346,2.22419274059888,0.979166666666667,0.947916666666667
"1",-2.24417496179207,0.610254138224931,0.280568471465775,0.000887821572325143,0.271814518370237,0.00243676293106478,0.000245946306152851,0.00316147456564066,-5.22962342849796,0.8,-2.18193397142283,0.281505206347432,0.000894092315661964,0.273647944040082,-2.71201887288042,0.335213199487106,0.000599383644133914,0.326186692573255,1,0.04,0.09,0.467843911088354,0.559902777361897,-0.869138572799673,2.45364828104099,0.979166666666667,0.916666666666667
