"","X.1","X","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power","bias.mean","bias.sd","bias.min","bias.max","ci.coverage.true.psi","ci.coverage.smooth.true.psi"
"1",1,0,-1.44586599107595,1.15881494397412,0.295975150447774,0.00241602203531642,0.285108931252907,0.00504490781387635,0.000467540829884314,0.00433387908483887,-4.3030951182025,0.8,-1.53200678874547,0.295031179281706,0.00232509600626277,0.28433009869704,-1.40090192187197,0.366781662437336,0.00338848828418588,0.353028265962816,0,0.08,0.39,-0.0449640692039854,0.671877595880377,-1.03515625129872,2.19654800527082,0.891304347826087,0.945652173913043
"2",2,0.1,-1.47623684140925,1.34778522155619,0.302447270206799,0.00230779104606804,0.291554277016211,0.00498041648157207,0.000453817356859399,0.00427907625525194,-4.39062611854485,0.8,-1.57692390004407,0.30284593991932,0.00222427089010441,0.292108697971157,-1.40315212780111,0.380226354751325,0.00328346637580696,0.366869204857543,0.1,0.08,0.39,-0.0730847136081434,0.709680565713847,-1.06860200688636,2.22174115306752,0.869565217391304,0.923913043478261
"3",3,0.2,-1.46880471668113,5.68178262509127,0.307192935027803,0.00219042163005429,0.296319007027795,0.00492972816918011,0.000438855823422491,0.00423180967134503,-4.47291712082191,0.8,-1.62747199139155,0.3070774493366,0.00217203683363469,0.296120355397842,-1.40512512099227,0.390241877570074,0.00315694875967744,0.377374038543131,0.2,0.08,0.32,-0.063679595688859,0.964807478765508,-1.18227163246764,6.27079486049482,0.869565217391304,0.945652173913043
"4",4,0.3,-1.50783945874826,1.7646053175707,0.310128564081581,0.00206800536330423,0.299323492450745,0.00489409957716718,0.000423345260116499,0.00419792078935603,-4.54741201417122,0.8,-1.66980308570336,0.309975816154899,0.00204035163249389,0.299138818767734,-1.40727968440271,0.396535966045686,0.00300304257886248,0.384269052870859,0.3,0.07,0.29,-0.10055977434555,0.853239206935122,-1.26946400133376,3.08500143495146,0.849462365591398,0.924731182795699
"5",5,0.4,-1.51196753562218,3.31240129597392,0.311201139416055,0.00194119662225369,0.300524403425687,0.00488045581514264,0.000406741108324389,0.00418386461622682,-4.62064846692336,0.8,-1.81509912119891,0.311194442847495,0.00183577052039789,0.299981121416758,-1.40930854737339,0.398922333786082,0.00281822319344058,0.387386996164725,0.4,0.06,0.29,-0.102658988248784,1.00680583968078,-1.35961941679501,5.33027542390847,0.861702127659574,0.968085106382979
"6",6,0.5,-1.64999487298729,2.43897375246184,0.310365395202135,0.00181014276937521,0.299898637733966,0.0048875030716775,0.000389344512993197,0.00418978343215279,-4.68533926162929,0.8,-1.78422312790106,0.310736742209926,0.00182652850966148,0.300006203602027,-1.41087501988887,0.397329831578688,0.00262684148998836,0.386560987150511,0.5,0.08,0.25,-0.239119853098425,0.806503854905779,-1.41290382689247,2.47811404536803,0.826086956521739,0.967391304347826
"7",7,0.6,-1.69453691560862,1.4014100973943,0.307666059707548,0.00167755899891071,0.297467030143737,0.00491514771163234,0.000371324197009503,0.00421589830731892,-4.74232027182473,0.8,-1.90443227709535,0.307496417220995,0.00159460540179918,0.29695588184079,-1.41258582106807,0.391805971182121,0.00242195444124781,0.381860068698745,0.6,0.08,0.27,-0.281951094540554,0.839845097618893,-1.46123269478747,3.00321337542913,0.826086956521739,0.967391304347826
"8",8,0.7,-1.79670361365259,10.2908058979148,0.30314147972741,0.00154698286879471,0.293264902827417,0.00496172784816786,0.000352997975941032,0.00425876243537748,-4.7915927100747,0.8,-1.84338065603294,0.302769126353782,0.00161827800851715,0.292587870626,-1.41421884092511,0.382514570662924,0.00221314036349734,0.373411322172625,0.7,0.1,0.23,-0.382484772727481,0.779123931041379,-1.56200966222276,3.40518007451958,0.811111111111111,0.933333333333333
"9",9,0.8,-1.8168361483116,3.83860294423099,0.296880334027246,0.00141771681083377,0.28734213724002,0.00502227139068832,0.000334238156608534,0.00431194305012957,-4.85068792454054,0.8,-1.92721085715953,0.297139822552504,0.00137039414650422,0.287784581741073,-1.41550261192419,0.369727684111432,0.00200085147860937,0.361487065286723,0.8,0.1,0.28,-0.401333536387407,0.937595764479262,-1.65925772279194,5.60727516268719,0.8,0.955555555555556
"10",10,0.9,-1.79750415749453,4.13235689602087,0.289000880092741,0.00129020239128826,0.279853216381404,0.00508964061128583,0.000315199471212817,0.00436928790847994,-4.89657397976802,0.8,-2.09509074539026,0.289679498287376,0.00113489198618294,0.280606105439629,-1.4168439760069,0.35381237049778,0.00179261644614407,0.346419469387402,0.9,0.09,0.33,-0.380660181487635,1.0791550652718,-1.74714535750549,5.31310843287355,0.802197802197802,0.967032967032967
"11",11,1,-1.91918667741593,1.9778686760515,0.279604556360562,0.00116909419141987,0.270898476761947,0.00515933714158718,0.000296230858752568,0.00442344639634274,-4.92532777381567,0.8,-2.02231077942059,0.280370500130965,0.00117437651723583,0.271615720715557,-1.41814616651826,0.335213199487106,0.00158702016834684,0.328659666336946,1,0.11,0.32,-0.501040510897668,0.874328330723358,-1.83694108120554,3.74392130219995,0.775280898876405,0.955056179775281
